"";"token";"sentimento"
"1";"abey";"uncertainty"
"2";"almost";"uncertainty"
"3";"alter";"uncertainty"
"4";"ambigu";"uncertainty"
"5";"anomali";"uncertainty"
"6";"anomal";"uncertainty"
"7";"anticip";"uncertainty"
"8";"appar";"uncertainty"
"9";"appear";"uncertainty"
"10";"approxim";"uncertainty"
"11";"arbitrarili";"uncertainty"
"12";"arbitrari";"uncertainty"
"13";"assum";"uncertainty"
"14";"assumpt";"uncertainty"
"15";"believ";"uncertainty"
"16";"cautious";"uncertainty"
"17";"clarif";"uncertainty"
"18";"conceiv";"uncertainty"
"19";"condit";"uncertainty"
"20";"confus";"uncertainty"
"21";"conting";"uncertainty"
"22";"could";"uncertainty"
"23";"crossroad";"uncertainty"
"24";"depend";"uncertainty"
"25";"destabil";"uncertainty"
"26";"deviat";"uncertainty"
"27";"differ";"uncertainty"
"28";"doubt";"uncertainty"
"29";"exposur";"uncertainty"
"30";"fluctuat";"uncertainty"
"31";"hidden";"uncertainty"
"32";"hing";"uncertainty"
"33";"imprecis";"uncertainty"
"34";"improb";"uncertainty"
"35";"incomplet";"uncertainty"
"36";"indefinit";"uncertainty"
"37";"indetermin";"uncertainty"
"38";"inexact";"uncertainty"
"39";"instabl";"uncertainty"
"40";"intang";"uncertainty"
"41";"likelihood";"uncertainty"
"42";"may";"uncertainty"
"43";"mayb";"uncertainty"
"44";"might";"uncertainty"
"45";"near";"uncertainty"
"46";"nonassess";"uncertainty"
"47";"occasion";"uncertainty"
"48";"ordinarili";"uncertainty"
"49";"pend";"uncertainty"
"50";"perhap";"uncertainty"
"51";"possibl";"uncertainty"
"52";"precaut";"uncertainty"
"53";"precautionari";"uncertainty"
"54";"predict";"uncertainty"
"55";"predictor";"uncertainty"
"56";"preliminarili";"uncertainty"
"57";"preliminari";"uncertainty"
"58";"presum";"uncertainty"
"59";"presumpt";"uncertainty"
"60";"probabilist";"uncertainty"
"61";"probabl";"uncertainty"
"62";"random";"uncertainty"
"63";"reassess";"uncertainty"
"64";"recalcul";"uncertainty"
"65";"reconsid";"uncertainty"
"66";"reexamin";"uncertainty"
"67";"reinterpret";"uncertainty"
"68";"revis";"uncertainty"
"69";"risk";"uncertainty"
"70";"riskier";"uncertainty"
"71";"riskiest";"uncertainty"
"72";"riski";"uncertainty"
"73";"rough";"uncertainty"
"74";"rumor";"uncertainty"
"75";"seem";"uncertainty"
"76";"seldom";"uncertainty"
"77";"sometim";"uncertainty"
"78";"somewhat";"uncertainty"
"79";"somewher";"uncertainty"
"80";"specul";"uncertainty"
"81";"sporad";"uncertainty"
"82";"sudden";"uncertainty"
"83";"suggest";"uncertainty"
"84";"suscept";"uncertainty"
"85";",76574";"uncertainty"
"86";",76708";"uncertainty"
"87";",76726";"uncertainty"
"88";",76801";"uncertainty"
"89";",76820";"uncertainty"
"90";",76821";"uncertainty"
"91";",76826";"uncertainty"
"92";",76936";"uncertainty"
"93";",76937";"uncertainty"
"94";",76938";"uncertainty"
"95";",76980";"uncertainty"
"96";",76981";"uncertainty"
"97";",76985";"uncertainty"
"98";",76986";"uncertainty"
"99";",76987";"uncertainty"
"100";",76988";"uncertainty"
"101";",76989";"uncertainty"
"102";",76990";"uncertainty"
"103";",76992";"uncertainty"
"104";",76993";"uncertainty"
"105";",76994";"uncertainty"
"106";",76995";"uncertainty"
"107";",76996";"uncertainty"
"108";",76997";"uncertainty"
"109";",76998";"uncertainty"
"110";",78132";"uncertainty"
"111";",78139";"uncertainty"
"112";",78140";"uncertainty"
"113";",78147";"uncertainty"
"114";",78582";"uncertainty"
"115";",78583";"uncertainty"
"116";",80106";"uncertainty"
"117";",80107";"uncertainty"
"118";",80410";"uncertainty"
"119";",80412";"uncertainty"
"120";",80413";"uncertainty"
"121";",80419";"uncertainty"
"122";",80491";"uncertainty"
"123";",80853";"uncertainty"
"124";",80937";"uncertainty"
"125";",80938";"uncertainty"
"126";",80942";"uncertainty"
"127";",80943";"uncertainty"
"128";",81381";"uncertainty"
"129";",81382";"uncertainty"
"130";",81383";"uncertainty"
"131";",81728";"uncertainty"
"132";",81944";"uncertainty"
"133";",82050";"uncertainty"
"134";",82476";"uncertainty"
"135";",82477";"uncertainty"
"136";",82478";"uncertainty"
"137";",82480";"uncertainty"
"138";",82483";"uncertainty"
"139";",82484";"uncertainty"
"140";",82485";"uncertainty"
"141";",82914";"uncertainty"
"142";",82915";"uncertainty"
"143";",83023";"uncertainty"
"144";",83024";"uncertainty"
"145";",83182";"uncertainty"
"146";",83396";"uncertainty"
"147";",83663";"uncertainty"
"148";",83664";"uncertainty"
"149";",83665";"uncertainty"
"150";",84148";"uncertainty"
"151";",84154";"uncertainty"
"152";",84759";"uncertainty"
"153";",84763";"uncertainty"
"154";",84816";"uncertainty"
"155";",84818";"uncertainty"
"156";",84819";"uncertainty"
"157";",84820";"uncertainty"
"158";",84821";"uncertainty"
"159";",84822";"uncertainty"
"160";",84824";"uncertainty"
"161";",84825";"uncertainty"
"162";",84826";"uncertainty"
"163";",84829";"uncertainty"
"164";",84830";"uncertainty"
"165";",84831";"uncertainty"
"166";",84833";"uncertainty"
"167";",84952";"uncertainty"
"168";",85048";"uncertainty"
"169";",85049";"uncertainty"
"170";",85075";"uncertainty"
"171";",85194";"uncertainty"
"172";",85205";"uncertainty"
"173";",85206";"uncertainty"
"174";",85207";"uncertainty"
"175";",85519";"uncertainty"
"176";",85521";"uncertainty"
"177";",86014";"uncertainty"
"178";",86031";"uncertainty"
